"Ativo,""Data Hora"",""Últ. (R$)"",""Var.(%) Dia"",""Fech. (R$)"",""Neg."",""Vol. Tot."","
"ALUP11,""10/01"",""28.24"",""1.77"",""27.75"",""4,898"",""24.61M"",""delete"""
"AZUL4,""10/01"",""57.50"",""0.38"",""57.28"",""8,249"",""95.66M"",""delete"""
"B3SA3,""10/01"",""44.30"",""-0.78"",""44.65"",""30,674"",""676.30M"",""delete"""
"BBAS3,""10/01"",""49.86"",""-2.35"",""51.06"",""40,221"",""774.23M"",""delete"""
"BBDC4,""10/01"",""34.43"",""-1.82"",""35.07"",""44,194"",""691.80M"",""delete"""
"BBPO11,""10/01"",""168.53"",""-0.16"",""168.78"",""1,031"",""2.94M"",""delete"""
"BOVA11,""10/01"",""111.28"",""-0.34"",""111.66"",""21,554"",""681.68M"",""delete"""
"BPAN4,""10/01"",""11.42"",""-0.70"",""11.50"",""6,596"",""37.83M"",""delete"""
"BRCR11,""10/01"",""119.65"",""0.49"",""119.08"",""3,866"",""5.51M"",""delete"""
"CNTO3,""10/01"",""39.15"",""0.64"",""38.90"",""4,430"",""35.94M"",""delete"""
"COGN3,""10/01"",""12.20"",""0.83"",""12.10"",""19,819"",""116.98M"",""delete"""
"CPFE3,""10/01"",""35.99"",""1.90"",""35.32"",""11,028"",""145.86M"",""delete"""
"CVCB3,""10/01"",""42.04"",""-3.11"",""43.39"",""15,269"",""125.49M"",""delete"""
"CYRE3,""10/01"",""31.65"",""0.70"",""31.43"",""19,435"",""159.30M"",""delete"""
"DTEX3,""10/01"",""17.60"",""1.44"",""17.35"",""12,133"",""49.92M"",""delete"""
"ELET3,""10/01"",""40.10"",""1.91"",""39.35"",""16,721"",""230.40M"",""delete"""
"ENEV3,""10/01"",""45.68"",""0.40"",""45.50"",""7,551"",""58.43M"",""delete"""
"EZTC3,""10/01"",""56.00"",""0.72"",""55.61"",""11,437"",""109.49M"",""delete"""
"GNDI3,""10/01"",""68.78"",""0.60"",""68.38"",""17,400"",""221.01M"",""delete"""
"GOAU4,""10/01"",""9.88"",""2.17"",""9.67"",""11,326"",""92.73M"",""delete"""
"GUAR3,""10/01"",""26.71"",""2.81"",""25.98"",""4,011"",""33.30M"",""delete"""
"HBOR3,""10/01"",""4.67"",""0.43"",""4.65"",""8,057"",""36.43M"",""delete"""
"HGLG11,""10/01"",""196.04"",""0.43"",""195.20"",""4,987"",""8.27M"",""delete"""
"HGRE11,""10/01"",""209.25"",""1.33"",""206.50"",""2,345"",""7.08M"",""delete"""
"ITSA4,""10/01"",""13.35"",""-0.67"",""13.44"",""35,423"",""337.35M"",""delete"""
"ITUB4,""10/01"",""34.60"",""-0.89"",""34.91"",""50,880"",""890.02M"",""delete"""
"JPSA3,""10/01"",""39.95"",""1.91"",""39.20"",""1,097"",""10.65M"",""delete"""
"JSRE11,""10/01"",""119.03"",""-1.85"",""121.26"",""3,310"",""12.58M"",""delete"""
"KNCR11,""10/01"",""107.30"",""-0.06"",""107.35"",""7,798"",""7.65M"",""delete"""
"KNRI11,""10/01"",""178.90"",""-1.16"",""181.00"",""10,361"",""32.49M"",""delete"""
"LREN3,""10/01"",""57.13"",""0.32"",""56.95"",""15,060"",""290.09M"",""delete"""
"MGLU3,""10/01"",""51.80"",""-0.54"",""52.08"",""27,155"",""490.70M"",""delete"""
"MOVI3,""10/01"",""20.33"",""-0.25"",""20.38"",""5,176"",""22.30M"",""delete"""
"MYPK3,""10/01"",""23.66"",""-0.71"",""23.83"",""5,626"",""28.39M"",""delete"""
"PETR4,""10/01"",""30.27"",""-0.43"",""30.40"",""28,206"",""769.81M"",""delete"""
"PSSA3,""10/01"",""63.94"",""1.15"",""63.21"",""2,698"",""27.49M"",""delete"""
"RADL3,""10/01"",""109.80"",""-3.10"",""113.30"",""5,763"",""93.80M"",""delete"""
"RBRF11,""10/01"",""126.50"",""-2.53"",""129.77"",""2,908"",""7.70M"",""delete"""
"RBRR11,""10/01"",""110.05"",""1.39"",""108.54"",""1,541"",""2.52M"",""delete"""
"RLOG3,""10/01"",""22.54"",""-0.04"",""22.55"",""3,660"",""19.02M"",""delete"""
"VALE3,""10/01"",""53.36"",""0.11"",""53.30"",""22,043"",""487.33M"",""delete"""
"VILG11,""10/01"",""142.07"",""1.48"",""140.01"",""4,241"",""5.90M"",""delete"""
"VISC11,""10/01"",""138.90"",""-0.14"",""139.09"",""4,201"",""7.86M"",""delete"""
"XPML11,""10/01"",""139.70"",""-0.71"",""140.70"",""7,637"",""26.21M"",""delete"""
