Ativo;Data Hora;Últ, (R$);Var,(%) Dia;Fech, (R$);Neg,;Vol, Tot,;
ALUP11;10/jan;28,24;1,77;27,75;4,898;24,61M;delete
AZUL4;10/jan;57,5;0,38;57,28;8,249;95,66M;delete
B3SA3;10/jan;44,3;-0,78;44,65;30,674;676,30M;delete
BBAS3;10/jan;49,86;-2,35;51,06;40,221;774,23M;delete
BBDC4;10/jan;34,43;-1,82;35,07;44,194;691,80M;delete
BBPO11;10/jan;168,53;-0,16;168,78;1,031;2,94M;delete
BOVA11;10/jan;111,28;-0,34;111,66;21,554;681,68M;delete
BPAN4;10/jan;11,42;-0,7;11,5;6,596;37,83M;delete
BRCR11;10/jan;119,65;0,49;119,08;3,866;5,51M;delete
CNTO3;10/jan;39,15;0,64;38,9;4,43;35,94M;delete
COGN3;10/jan;12,2;0,83;12,1;19,819;116,98M;delete
CPFE3;10/jan;35,99;1,9;35,32;11,028;145,86M;delete
CVCB3;10/jan;42,04;-3,11;43,39;15,269;125,49M;delete
CYRE3;10/jan;31,65;0,7;31,43;19,435;159,30M;delete
DTEX3;10/jan;17,6;1,44;17,35;12,133;49,92M;delete
ELET3;10/jan;40,1;1,91;39,35;16,721;230,40M;delete
ENEV3;10/jan;45,68;0,4;45,5;7,551;58,43M;delete
EZTC3;10/jan;56;0,72;55,61;11,437;109,49M;delete
GNDI3;10/jan;68,78;0,6;68,38;17,4;221,01M;delete
GOAU4;10/jan;9,88;2,17;9,67;11,326;92,73M;delete
GUAR3;10/jan;26,71;2,81;25,98;4,011;33,30M;delete
HBOR3;10/jan;4,67;0,43;4,65;8,057;36,43M;delete
HGLG11;10/jan;196,04;0,43;195,2;4,987;8,27M;delete
HGRE11;10/jan;209,25;1,33;206,5;2,345;7,08M;delete
ITSA4;10/jan;13,35;-0,67;13,44;35,423;337,35M;delete
ITUB4;10/jan;34,6;-0,89;34,91;50,88;890,02M;delete
JPSA3;10/jan;39,95;1,91;39,2;1,097;10,65M;delete
JSRE11;10/jan;119,03;-1,85;121,26;3,31;12,58M;delete
KNCR11;10/jan;107,3;-0,06;107,35;7,798;7,65M;delete
KNRI11;10/jan;178,9;-1,16;181;10,361;32,49M;delete
LREN3;10/jan;57,13;0,32;56,95;15,06;290,09M;delete
MGLU3;10/jan;51,8;-0,54;52,08;27,155;490,70M;delete
MOVI3;10/jan;20,33;-0,25;20,38;5,176;22,30M;delete
MYPK3;10/jan;23,66;-0,71;23,83;5,626;28,39M;delete
PETR4;10/jan;30,27;-0,43;30,4;28,206;769,81M;delete
PSSA3;10/jan;63,94;1,15;63,21;2,698;27,49M;delete
RADL3;10/jan;109,8;-3,1;113,3;5,763;93,80M;delete
RBRF11;10/jan;126,5;-2,53;129,77;2,908;7,70M;delete
RBRR11;10/jan;110,05;1,39;108,54;1,541;2,52M;delete
RLOG3;10/jan;22,54;-0,04;22,55;3,66;19,02M;delete
VALE3;10/jan;53,36;0,11;53,3;22,043;487,33M;delete
VILG11;10/jan;142,07;1,48;140,01;4,241;5,90M;delete
VISC11;10/jan;138,9;-0,14;139,09;4,201;7,86M;delete
XPML11;10/jan;139,7;-0,71;140,7;7,637;26,21M;delete
